,DateTime,Seq,Temp,'C,Humidity,%
501,2015-6-21,21,17.5,'C,57.5,%
502,2015-6-21,22,16.5,'C,57.0,%
503,2015-6-21,23,15.0,'C,67.0,%
504,2015-6-22,0,14.0,'C,77.0,%
505,2015-6-22,1,13.5,'C,79.5,%
506,2015-6-22,2,13.0,'C,85.0,%
507,2015-6-22,3,13.0,'C,88.0,%
508,2015-6-22,4,11.5,'C,85.0,%
509,2015-6-22,5,12.5,'C,85.0,%
510,2015-6-22,6,13.0,'C,85.0,%
511,2015-6-22,7,13.5,'C,85.0,%
512,2015-6-22,8,14.5,'C,79.5,%
513,2015-6-22,9,15.0,'C,69.5,%
514,2015-6-22,10,14.5,'C,72.0,%
515,2015-6-22,11,14.0,'C,77.0,%
516,2015-6-22,12,14.5,'C,74.5,%
517,2015-6-22,13,16.5,'C,63.5,%
518,2015-6-22,14,16.5,'C,53.5,%
519,2015-6-22,15,18.0,'C,45.0,%
520,2015-6-22,16,17.5,'C,46.5,%
521,2015-6-22,17,17.0,'C,48.0,%
522,2015-6-22,18,17.0,'C,50.0,%
523,2015-6-22,19,15.5,'C,64.5,%
524,2015-6-22,20,14.5,'C,69.5,%
525,2015-6-22,21,15.0,'C,67.0,%
526,2015-6-22,22,14.0,'C,74.5,%
527,2015-6-22,23,14.0,'C,72.0,%
528,2015-6-23,0,14.0,'C,72.0,%
529,2015-6-23,1,14.0,'C,67.0,%
530,2015-6-23,2,13.0,'C,72.0,%
531,2015-6-23,3,13.0,'C,72.0,%
532,2015-6-23,4,13.0,'C,72.0,%
533,2015-6-23,5,13.0,'C,72.0,%
534,2015-6-23,6,13.0,'C,72.0,%
535,2015-6-23,7,13.5,'C,69.5,%
536,2015-6-23,8,14.5,'C,65.0,%
537,2015-6-23,9,15.5,'C,57.0,%
538,2015-6-23,10,16.0,'C,55.0,%
539,2015-6-23,11,16.0,'C,55.0,%
540,2015-6-23,12,17.0,'C,50.0,%
541,2015-6-23,13,17.0,'C,52.0,%
542,2015-6-23,14,18.0,'C,49.0,%
543,2015-6-23,15,18.5,'C,49.0,%
544,2015-6-23,16,19.5,'C,44.5,%
545,2015-6-23,17,19.0,'C,47.5,%
546,2015-6-23,18,19.5,'C,46.0,%
547,2015-6-23,19,19.0,'C,50.5,%
548,2015-6-23,20,17.5,'C,57.5,%
549,2015-6-23,21,16.5,'C,63.5,%
550,2015-6-23,22,15.0,'C,67.0,%
551,2015-6-23,23,15.0,'C,72.0,%
552,2015-6-24,0,15.0,'C,77.0,%
553,2015-6-24,1,14.5,'C,79.5,%
554,2015-6-24,2,14.0,'C,77.0,%
555,2015-6-24,3,14.0,'C,77.0,%
556,2015-6-24,4,14.0,'C,77.0,%
557,2015-6-24,5,14.5,'C,74.5,%
558,2015-6-24,6,16.0,'C,63.0,%
559,2015-6-24,7,16.5,'C,63.5,%
560,2015-6-24,8,17.5,'C,61.0,%
561,2015-6-24,9,19.5,'C,50.5,%
562,2015-6-24,10,21.0,'C,44.5,%
563,2015-6-24,11,21.5,'C,44.5,%
564,2015-6-24,12,23.0,'C,41.0,%
565,2015-6-24,13,22.5,'C,45.0,%
566,2015-6-24,14,23.5,'C,42.5,%
567,2015-6-24,15,23.0,'C,41.0,%
568,2015-6-24,16,22.5,'C,42.0,%
569,2015-6-24,17,21.5,'C,44.5,%
570,2015-6-24,18,21.0,'C,46.0,%
571,2015-6-24,19,20.0,'C,49.0,%
572,2015-6-24,20,19.5,'C,50.5,%
573,2015-6-24,21,18.5,'C,54.0,%
574,2015-6-24,22,17.5,'C,59.5,%
575,2015-6-24,23,17.0,'C,59.0,%
576,2015-6-25,0,16.0,'C,68.0,%
